,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,marketcap,pricetobook,dividendyield,revenuegrowth,freecashflow,ebitda,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
836,1.13,1532.0,66.0,15.0,1.8333333330000001,1.811396129,1.667825513,1.5593644420000001,1.6973584270000002,1.530291737,2.023806,156424270432.0,3256681001.0,210.7721,30300406632.0,31480126001.0,0.3286335345030997,59.74110812497538,12.727922061357855,10.433981132056603,4.16227766016838,1.0169969253475712,85.08956739616646
837,1.112,1305.0,59.0,7.0,1.5,1.79315774,1.6793503730000001,1.538166694,1.7004262159999999,1.538010576,2.012773,156407599346.6,3314062001.0,210.5566,30304139632.0,31574035001.0,0.2792848008753788,53.46026561849464,11.489125293076057,11.44030650891055,2.414213562373095,1.007673389697286,105.86658555507488
838,1.105,1114.0,56.0,5.0,1.857142857,1.800274313,1.6916473870000002,1.555205873,1.704100698,1.5427270339999999,2.00359,156408319056.2,3263389001.0,210.8691,30308447632.0,31631562001.0,0.3331666249791536,43.42810150121693,9.1104335791443,12.090536506409418,2.732050807568877,1.0231006950195618,101.73801739621533
839,1.134,1824.0,84.0,10.0,2.0,1.805633865,1.6574182259999999,1.5365336589999998,1.691439549,1.516699638,2.003341,156396889154.6,3511946001.0,210.4199,30316675632.0,31545733001.0,0.30983866769659335,52.41183072551463,11.916375287812984,13.328828005937952,4.0,1.0332328361583483,115.75763105799484
840,1.1280000000000001,995.0,37.0,3.0,2.428571429,1.803976439,1.67097533,1.60252701,1.694692181,1.549890677,2.020654,156487861841.3,3497274001.0,210.5197,30321992632.0,31643614001.0,0.39496835316262996,42.708313008125245,8.94427190999916,9.602325267042627,3.23606797749979,1.0101001346725802,89.84575857062917
841,1.1219999999999999,1165.0,56.0,2.0,2.5,1.8194563700000002,1.6590365500000002,1.575859014,1.709307949,1.5260408760000002,2.031978,156502035318.9,3550046001.0,210.3752,30324739632.0,31749347001.0,0.3478505426185217,38.52272056851645,8.246211251235321,12.489125293076057,2.732050807568877,1.009845203341383,99.41998404965386
842,1.138,2368.0,120.0,1.0,3.0,1.8163893409999998,1.6492572829999999,1.603620883,1.6932744679999998,1.4980538829999999,2.138385,158842368368.0,980426001.0,178.6353,30674879632.0,34871959001.0,0.3301514803843836,44.40720662234904,9.539392014169456,10.797958971132712,3.449489742783178,1.0328154343652958,92.73751751940489
843,1.123,2029.0,110.0,2.0,2.333333333,1.82076446,1.665949283,1.618434221,1.7148490170000001,1.499238815,2.086651,158801325891.0,1.0,188.42090000000002,30712448632.0,35485726001.0,0.4,40.792156108742276,8.94427190999916,11.770329614269007,2.414213562373095,1.031987160026611,101.73801739621533
844,1.133,2587.0,137.0,1.0,3.0,1.794333035,1.6731561209999999,1.5910852549999999,1.724201169,1.5081017509999999,2.0469340000000003,158865734191.0,1331367001.0,168.9835,30719747632.0,35043167001.0,0.3674234614174767,41.1703777004778,9.273618495495704,10.219544457292887,2.732050807568877,1.0227415668968602,96.77863121109024
845,1.1219999999999999,2310.0,115.0,2.0,2.0,1.804587532,1.64144877,1.573571455,1.722195256,1.468928846,2.027521,159331486477.0,2304089001.0,36.05369999999999,30730003632.0,35658475001.0,0.403732584763727,44.27188724235731,10.04987562112089,10.9498743710662,2.0,1.0283686513229635,97.80678624731347
846,1.1280000000000001,2086.0,97.0,1.0,3.0,1.821848381,1.65895657,1.607865361,1.709626788,1.496119991,2.014637,159443293380.0,1860418001.0,157.5773,30737133632.0,35455297001.0,0.4289522117905443,44.05678154382138,9.695359714832659,11.14889156509222,2.732050807568877,1.0379664381016296,100.20600386986904
847,1.145,1978.0,100.0,3.0,1.6666666669999999,1.813761047,1.644129034,1.586369484,1.7007201109999999,1.484066797,2.018688,159554016045.0,1821894001.0,178.97990000000001,30711931632.0,34690188001.0,0.44158804331639234,55.96427431853289,12.489995996796797,10.273618495495704,2.0,1.0328154343652958,100.1780033039529
848,1.145,2106.0,95.0,2.0,2.666666667,1.8160224569999999,1.6588207160000001,1.588728436,1.687053689,1.503293411,2.0204,159603992097.0,2915382001.0,602.8648000000001,30717334632.0,34469716001.0,0.37947331922020555,46.561786907291264,10.344080432788601,11.63014581273465,3.23606797749979,1.0260564931377802,115.24872655182958
849,1.121,4770.0,246.0,3.0,2.428571429,1.8106098959999999,1.664419384,1.574574651,1.703994438,1.506562348,2.014931,159152507466.0,4133352001.0,231.8503,30709208632.0,34352522001.0,0.39749213828703583,55.263007518592396,12.12435565298214,3.0,3.23606797749979,1.0349240949614926,10.41780240441493
852,1.109,2970.0,125.0,2.0,2.333333333,1.830434067,1.637601075,1.61537729,1.7029403250000001,1.484825679,2.101641,157120966573.0,22155506001.0,210.1308,30966903632.0,43335000001.0,0.38340579025361626,27.2213151776324,6.4031242374328485,15.352700094407323,2.414213562373095,1.0186149166586562,139.86915835687506
853,1.101,2180.0,111.0,2.0,2.0,1.804481918,1.6790126340000002,1.56659004,1.75177606,1.501344765,2.033945,156913233784.8,20461506001.0,210.4713,30986903632.0,42730000001.0,0.37013511046643494,30.692018506445613,7.0,13.24744871391589,2.0,1.0249309166791833,113.76427472480918
854,1.131,3395.0,159.0,4.0,1.5,1.8206446490000001,1.65299468,1.582802832,1.7077016770000002,1.5085675470000002,2.006595,157251647234.0,17549506001.0,210.7893,31027903632.0,43879000001.0,0.3674234614174767,32.37282811247729,6.782329983125268,15.933184523068078,2.0,1.0253038339285376,156.88152748186138
855,1.129,1915.0,84.0,2.0,2.666666667,1.8015568100000001,1.6677934269999999,1.569877961,1.734275658,1.5362405940000001,2.094052,156278583105.9,3272306001.0,209.09120000000001,30372903632.0,31041100001.0,0.30495901363953815,38.45776904605882,8.426149773176359,15.035668847618199,3.23606797749979,1.0220302776654193,147.92567266223233
856,1.173,4933.0,209.0,4.0,2.0,1.823685884,1.6691451270000002,1.5774265820000002,1.705003564,1.5262013520000002,2.076501,156327066148.9,3239506001.0,209.44480000000001,30382903632.0,31243000001.0,0.4012480529547776,42.01190307520001,9.16515138991168,8.745966692414834,2.732050807568877,1.0429565514644485,72.96173254830684
857,1.121,3085.0,133.0,4.0,2.0,1.797766805,1.630136629,1.5345043120000001,1.697563325,1.496229451,2.079781,156322461539.5,3168506001.0,209.7184,30387903632.0,31248000001.0,0.3331666249791536,42.661458015403085,9.486832980505138,14.341664064126334,2.732050807568877,1.012235004904151,134.08299926195892
858,1.11,2749.0,122.0,4.0,1.8,1.8111765819999999,1.6766303599999999,1.569871282,1.719719112,1.5279213189999998,2.064146,156357206350.2,3070506001.0,210.0066,30389903632.0,31237000001.0,0.38340579025361626,42.638011210655684,9.0,14.564659966250536,2.414213562373095,1.0299547931960735,143.46286624029878
859,1.13,2118.0,89.0,1.0,3.0,1.808590577,1.6580673209999999,1.583594105,1.711609964,1.515935538,2.109273,156485152942.2,3276506001.0,209.7726,30390903632.0,31292000001.0,0.2863564212655271,37.94733192202055,8.602325267042627,14.0,3.0,1.0307611457541275,132.46516739744192
860,1.066,1959.0,114.0,6.0,2.166666667,1.818222702,1.6398965429999999,1.606680205,1.6963022479999998,1.511678426,2.208017,156439234591.0,5046995001.0,206.8166,30205435632.0,31437244001.0,0.3987480407475377,76.58328799418317,17.86057109949175,5.0,3.6457513110645907,1.0231006950195618,32.549053334625114
861,1.153,1745.0,89.0,8.0,1.6,1.817487006,1.646076373,1.5759505950000001,1.691579806,1.507296292,2.175498,156460658455.2,5229859001.0,206.8169,30210570632.0,31409719001.0,0.4049691346263317,67.15653356152326,15.165750888103101,6.916079783099616,2.732050807568877,1.0375254236336722,43.668034146735486
