CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile
Sean Healey,AMG,Financials,Q3,2011,10/26/2011 2:34,0.193,0,0.148,3526,0,3402,140,0,147,6,4,1.5,0.2,0.832927555,0.620191161,0.585630356,0.700436937,0.487861344,0.995850495,0.433087719,0.781101139,0.146748005,0.641913602
Sean Healey,AMG,Financials,Q4,2011,1/31/2012 16:08,0.214,0.214,0.161,2709,1163,1765,101,64,72,7,2,3.5,0.555555556,0.821867198,0.635776843,0.576447817,0.700407732,0.486530392,0.989082556,0.56578196,0.715708531,0.146579279,0.633059762
Sean Healey,AMG,Financials,Q2,2012,7/31/2012 17:41,0.145,0.22,0.173,2433,524,3950,110,25,142,3,3,1,0,0.836094588,0.644308511,0.608101999,0.701003674,0.517516866,0.996917305,0.636293161,0.899639439,0.150048057,0.813172854
Sean M. Healey,AMG,Financials,Q3,2012,10/31/2012 14:50,0.161,0.143,0.176,1717,1855,2401,81,79,111,1,2,0.5,-0.333333333,0.819506407,0.632553071,0.567184859,0.689829148,0.473669688,0.986766297,0.538448684,0.641533129,0.093866496,0.544519805
Sean M. Healey,AMG,Financials,Q1,2013,4/30/2013 17:10,0.167,0.109,0.119,2570,1957,4777,97,94,210,11,2,5.5,0.692307692,0.828868264,0.641031152,0.597084428,0.687511434,0.505968344,0.994006262,0.60960895,0.849104327,0.084470306,0.75326036
Sean M. Healey,AMG,Financials,Q2,2013,7/30/2013 15:20,0.208,0.132,0.137,2097,1773,3218,77,58,120,3,0,inf,1,0.813362054,0.63789925,0.595043756,0.698659435,0.5036116,0.978660241,0.583615134,0.838146504,0.136715587,0.739880917
Gregory C. Case,AON,Financials,Q4,2011,2/3/2012 14:10,0.168,0.098,0.109,4244,1559,1050,178,76,40,8,3,2.666666667,0.454545455,0.817224355,0.649539216,0.585261933,0.711704085,0.494911595,0.984135431,0.677499005,0.778655762,0.221521302,0.687453685
Gregory C. Case,AON,Financials,Q1,2012,5/4/2012 9:30,0.145,0.145,0.112,5272,1988,1286,240,99,61,20,2,10,0.818181818,0.801465655,0.667458204,0.556950188,0.707755135,0.506537583,0.950958384,0.800918719,0.552984018,0.193135777,0.75643583
Gregory C. Case,AON,Financials,Q2,2012,7/27/2012 14:20,0.157,0.148,0.108,4025,2161,1605,175,108,72,22,1,22,0.913043478,0.822853942,0.640705559,0.556224719,0.716674014,0.481223452,0.989940853,0.606927192,0.54654881,0.260420319,0.597091672
Gregory C. Case,AON,Financials,Q3,2012,10/26/2012 13:40,0.167,0.129,0.1,3471,2065,1873,162,116,92,13,2,6.5,0.733333333,0.821073995,0.657017757,0.574237534,0.715065975,0.509707206,0.988347078,0.732719818,0.698680056,0.247461642,0.773706958
Gregory C. Case,AON,Financials,Q4,2012,2/1/2013 13:40,0.125,0.125,0.14,3275,2127,1563,122,97,77,11,1,11,0.833333333,0.813168399,0.637784976,0.568348849,0.704201856,0.48876984,0.978348064,0.582658992,0.651230409,0.169591919,0.647913951
Gregory C. Case,AON,Financials,Q1,2013,4/26/2013 11:50,0.178,0.128,0.073,2027,1257,492,90,62,24,6,0,inf,1,0.803246226,0.640162732,0.591219659,0.703852417,0.503331221,0.956365992,0.602444943,0.816251551,0.167380363,0.738264645
Gregory C. Case,AON,Financials,Q2,2013,7/26/2013 12:50,0.184,0.131,0.117,3735,2499,1050,154,106,53,15,0,inf,1,0.815612332,0.645568077,0.580541245,0.718522462,0.483866239,0.982017159,0.646383035,0.745973407,0.275736739,0.615127235
